tg_ecotypeid,ecotypeid,ecotypeids_merged,name,othername,country,sitename,latitude,longitude,collector,collectiondate,250k,1001g,fullseq_data,producer,comment,completed,release_status,seq_by,picture,public_URL,UC_HPC_loc,location_qc,GMI_methylome,GMI_transcriptome,CS_1001,CS_regmap,regmap_1001_check,CS_number
1634,1634,,DuckLkSP6,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1635,1635,,DuckLkSP7,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1636,1636,,DuckLkSP9,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1637,1637,,DuckLkSP12,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1638,1638,,DuckLkSP14,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1639,1639,,DuckLkSP15,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1640,1640,,DuckLkSP18,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1641,1641,,DuckLkSP19,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1642,1642,,DuckLkSP22,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1643,1643,,DuckLkSP23,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1644,1644,,DuckLkSP24,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1645,1645,,DuckLkSP25,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1646,1646,,DuckLkSP27,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1647,1647,,DuckLkSP28,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1648,1648,,DuckLkSP30,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1649,1649,,DuckLkSP32,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1650,1650,,DuckLkSP37,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1651,1651,,DuckLkSP38,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,Y,Y,,,Y,,MPI,,,,,,,,,,CS78964
1652,1652,,DuckLkSP40,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,Y,Y,,,Y,,MPI,,,,,,,,,,CS78965
1653,1653,,DuckLkSP41,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1654,1654,,DuckLkSP42,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1655,1655,,DuckLkSP43,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1656,1656,,DuckLkSP46,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1657,1657,,DuckLkSP48,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1658,1658,,DuckLkSP49,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1659,1659,,DuckLkSP51,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1660,1660,,DuckLkSP52,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1661,1661,,DuckLkSP53,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1662,1662,,DuckLkSP54,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1663,1663,,DuckLkSP55,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1664,1664,,DuckLkSP56,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1665,1665,,DuckLkSP57,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1666,1666,,DuckLkSP59,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1667,1667,,DuckLkSP60,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1668,1668,,DuckLkSP61,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1669,1669,,DuckLkSP63,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1670,1670,,DuckLkSP64,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1671,1671,,DuckLkSP67,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1672,1672,,DuckLkSP69,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1673,1673,,DuckLkSP71,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1674,1674,,DuckLkSP73,,USA,DuckLkSP,43.3431,-86.4045,Diane Byers,2004-06-04 00:00:00,N,,N,,,,,,,,,,,,,,,
1675,1675,,Haz-1,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1676,1676,,Haz-2,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,Y,Y,,,Y,,MPI,,,,,,,,,,CS78966
1677,1677,,Haz-3,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1678,1678,,Haz-4,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1679,1679,,Haz-5,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1680,1680,,Haz-6,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1681,1681,,Haz-7,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1682,1682,,Haz-8,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1683,1683,,Haz-9,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1684,1684,,Haz-10,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,Y,Y,,,Y,,MPI,,,,,,,,,,CS78967
1685,1685,,Haz-12,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1686,1686,,Haz-13,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1687,1687,,Haz-14,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1688,1688,,Haz-15,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1689,1689,,Haz-16,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1690,1690,,Haz-17,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1691,1691,,Haz-18,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1692,1692,,Haz-19,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1693,1693,,Haz-20,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1694,1694,,Haz-21,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1695,1695,,Haz-22,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1696,1696,,Haz-23,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1697,1697,,Haz-24,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1698,1698,,Haz-25,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1699,1699,,Haz-26,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1700,1700,,Haz-27,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1701,1701,,Haz-28,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1702,1702,,Haz-29,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1703,1703,,Haz-30,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1704,1704,,Haz-31,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1705,1705,,Haz-32,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1706,1706,,Haz-33,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1707,1707,,Haz-35,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1708,1708,,Haz-36,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1709,1709,,Haz-37,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1710,1710,,Haz-39,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1711,1711,,Haz-40,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1712,1712,,Haz-41,,USA,Haz,41.879,-86.607,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1713,1713,,KBS-Mac-1,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,N,,N,,,,,,,,,,,,,,,
1714,1714,,KBS-Mac-3,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,N,,N,,,,,,,,,,,,,,,
1715,1715,,KBS-Mac-6,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,N,,N,,,,,,,,,,,,,,,
1716,1716,,KBS-Mac-8,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,Y,,N,,,,,,,,,,,,,CS77671,,
1717,1717,,KBS-Mac-13,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,N,,N,,,,,,,,,,,,,,,
1718,1718,,KBS-Mac-15,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,Y,,N,,,,,,,,,,,,,CS77672,,
1719,1719,,KBS-Mac-16,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,Y,,N,,,,,,,,,,,,,CS77673,,
1720,1720,,KBS-Mac-17,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,Y,,N,,,,,,,,,,,,,CS77674,,
1721,1721,,KBS-Mac-22,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,N,,N,,,,,,,,,,,,,,,
1722,1722,,KBS-Mac-23,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,Y,,N,,,,,,,,,,,,,CS77675,,
1723,1723,,KBS-Mac-26,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,N,,N,,,,,,,,,,,,,,,
1724,1724,,KBS-Mac-28,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,Y,,N,,,,,,,,,,,,,CS77676,,
1725,1725,,KBS-Mac-30,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,N,,N,,,,,,,,,,,,,,,
1726,1726,,KBS-Mac-33,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,Y,,N,,,,,,,,,,,,,CS77677,,
1727,1727,,KBS-Mac-34,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,N,,N,,,,,,,,,,,,,,,
1728,1728,,KBS-Mac-36,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,N,,N,,,,,,,,,,,,,,,
1729,1729,,KBS-Mac-41,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,Y,,N,,,,,,,,,,,,,CS77678,,
1730,1730,,KBS-Mac-43,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,Y,,N,,,,,,,,,,,,,CS77679,,
1731,1731,,KBS-Mac-48,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,N,,N,,,,,,,,,,,,,,,
1732,1732,,KBS-Mac-51,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,N,,N,,,,,,,,,,,,,,,
1733,1733,,KBS-Mac-53,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,Y,,N,,,,,,,,,,,,,CS77680,,
1734,1734,,KBS-Mac-54,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,N,,N,,,,,,,,,,,,,,,
1735,1735,,KBS-Mac-56,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,N,,N,,,,,,,,,,,,,,,
1736,1736,,KBS-Mac-58,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,Y,,N,,,,,,,,,,,,,CS77681,,
1737,1737,,KBS-Mac-62,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,N,,N,,,,,,,,,,,,,,,
1738,1738,,KBS-Mac-64,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,Y,,N,,,,,,,,,,,,,CS77682,,
1739,1739,,KBS-Mac-68,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,N,Y,Y,,,Y,,MPI,,,,,,,,,,CS78968
1740,1740,,KBS-Mac-72,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,Y,,N,,,,,,,,,,,,,CS77683,,
1741,1741,,KBS-Mac-74,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,N,Y,Y,,,Y,,MPI,,,,,,,,,,CS78969
1742,1742,,KBS-Mac-73,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,Y,,N,,,,,,,,,,,,,CS77684,,
1743,1743,,KBS-Mac-75,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,Y,,N,,,,,,,,,,,,,CS77685,,
1744,1744,,KBS-Mac-76,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,Y,,N,,,,,,,,,,,,,CS77686,,
1745,1745,,KBS-Mac-78,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,Y,,N,,,,,,,,,,,,,CS77687,,
1746,1746,,KBS-Mac-79,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,N,,N,,,,,,,,,,,,,,,
1747,1747,,KBS-Mac-80,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,N,,N,,,,,,,,,,,,,,,
1748,1748,,KBS-Mac-86,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,N,,N,,,,,,,,,,,,,,,
1749,1749,,KBS-Mac-88,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,Y,,N,,,,,,,,,,,,,CS77688,,
1750,1750,,KBS-Mac-89,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,Y,,N,,,,,,,,,,,,,CS77689,,
1751,1751,,KBS-Mac-91,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,Y,,N,,,,,,,,,,,,,CS77690,,
1752,1752,,KBS-Mac-95,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,Y,,N,,,,,,,,,,,,,CS77691,,
1753,1753,,KBS-Mac-96,,USA,KBS-Mackay,42.405,-85.398,Diane Byers,2004-05-29 00:00:00,Y,,N,,,,,,,,,,,,,CS77692,,
1754,1754,,Ker-1,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1755,1755,,Ker-3,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1756,1756,,Ker-4,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,Y,Y,,,Y,,MPI,,,,,,,,,,CS78970
1757,1757,,Ker-5,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,Y,Y,,,Y,,MPI,,,,,,,,,,CS78971
1758,1758,,Ker-6,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1759,1759,,Ker-7,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1760,1760,,Ker-8,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1761,1761,,Ker-9,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1762,1762,,Ker-10,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1763,1763,,Ker-11,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1764,1764,,Ker-13,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1765,1765,,Ker-14,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1766,1766,,Ker-17,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1767,1767,,Ker-18,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1768,1768,,Ker-21,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1769,1769,,Ker-23,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1770,1770,,Ker-24,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1771,1771,,Ker-25,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1772,1772,,Ker-26,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1773,1773,,Ker-27,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1774,1774,,Ker-28,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1775,1775,,Ker-29,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1776,1776,,Ker-30,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1777,1777,,Ker-31,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1778,1778,,Ker-32,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1779,1779,,Ker-33,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1780,1780,,Ker-35,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1781,1781,,Ker-36,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1782,1782,,Ker-38,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,Y,,N,,,,,,,,,,,,,CS77693,,
1783,1783,,Ker-39,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1784,1784,,Ker-40,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1785,1785,,Ker-41,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
1786,1786,,Ker-42,,USA,Ker,42.184,-86.358,Diane Byers,2002-05-01 00:00:00,N,,N,,,,,,,,,,,,,,,
